"Ocean","Longitude","Latitude","Scientific name","Order","Mean","CV","Reference"
"North Atlantic",-2.2,36.8666666666667,"Cystoseira tamariscifolia","Fucales",2,NA,"Abdala-Díaz et al. 2006"
"North Atlantic",-3.5,47.7166666666667,"Sargassum muticum","Fucales",1.11,0.0990990990990991,"Plouguerné et al. 2006"
"North Atlantic",-3.9,47.85,"Ascophyllum nodosum","Fucales",4.8,0.104166666666667,"Connan et al. 2006"
"North Atlantic",-3.9,47.85,"Laminaria hyperborea","Laminariales",2.6,0.576923076923077,"Connan et al. 2006"
"North Atlantic",-3.9,47.85,"Laminaria digitata","Laminariales",0.2,0.5,"Connan et al. 2006"
"North Atlantic",-3.91666666666667,48.6666666666667,"Sargassum muticum","Fucales",1.85,0.0486486486486486,"Plouguerné et al. 2006"
"South Atlantic",-34.9333333333333,-8.33333333333333,"Lobophora variegata","Dictyotales",0.9,0.244444444444444,"Present study"
"South Atlantic",-34.9333333333333,-8.33333333333333,"Dictyopteris delicatula","Dictyotales",0.22,0.0454545454545455,"Present study"
"South Atlantic",-34.9333333333333,-8.36666666666667,"Padina gymnospora","Dictyotales",0.07,0.142857142857143,"Present study"
"South Atlantic",-34.9333333333333,-8.36666666666667,"Dictyota mertensii","Dictyotales",0.19,0.0526315789473684,"Present study"
"South Atlantic",-34.95,-8.35,"Sargassum vulgare","Fucales",0.13,0.153846153846154,"Present study"
"South Atlantic",-34.95,-8.35,"Canistrocarpus cervicornis","Dictyotales",0.13,0.0769230769230769,"Present study"
"South Atlantic",-35.0833333333333,-6.16666666666667,"Padina gymnospora","Dictyotales",0.4,0.05,"Present study"
"South Atlantic",-38.3666666666667,-12.95,"Sargassum filipendula","Fucales",0.09,0.111111111111111,"Present study"
"South Atlantic",-38.3666666666667,-12.95,"Lobophora variegata","Dictyotales",0.12,0,"Present study"
"South Atlantic",-38.3666666666667,-12.95,"Dictyota pfaffii","Dictyotales",0.1,0.2,"Present study"
"South Atlantic",-38.3666666666667,-12.95,"Dictyopteris delicatula","Dictyotales",0.08,0.125,"Present study"
"South Atlantic",-39.0166666666667,-14.4666666666667,"Padina gymnospora","Dictyotales",0.19,0.0526315789473684,"Present study"
"South Atlantic",-39.0166666666667,-14.4666666666667,"Sargassum filipendula","Fucales",0.38,0.263157894736842,"Present study"
"South Atlantic",-39.0166666666667,-14.4666666666667,"Sargassum vulgare","Fucales",0.19,0.526315789473684,"Present study"
"South Atlantic",-39.0166666666667,-14.8,"Sargassum vulgare","Fucales",0.72,0.208333333333333,"Present study"
"South Atlantic",-39.0166666666667,-14.8,"Padina gymnospora","Dictyotales",0.26,0.115384615384615,"Present study"
"South Atlantic",-39.0333333333333,-16.4,"Dictyopteris polipodioides","Dictyotales",0.22,0.0454545454545455,"Present study"
"South Atlantic",-39.0333333333333,-16.4,"Dictyota crispata","Dictyotales",0.14,0.285714285714286,"Present study"
"South Atlantic",-39.0333333333333,-16.4,"Dictyopteris delicatula","Dictyotales",0.13,0.0769230769230769,"Present study"
"South Atlantic",-39.0333333333333,-16.4,"Padina gymnospora","Dictyotales",0.13,0.461538461538462,"Present study"
